"location","city","country","distance","measurements__parameter","measurements__value","measurements__lastUpdated","measurements__unit","measurements__sourceName","measurements__averagingPeriod__value","measurements__averagingPeriod__unit","coordinates__latitude","coordinates__longitude"
"","","","","pm10","14.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R801 - BORGERHOUT","Flanders","BE","3477558.893786227","no2","23","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.209663","4.431821"
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","17.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","so2","1","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","o3","33.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R802 - BORGERHOUT","Flanders","BE","3477560.6004453595","pm10","17.2","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.20952","4.4317923"
"","","","","pm25","6","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","no2","31","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","co","14","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R803 - ANTWERPEN","Flanders","BE","3477832.7754971962","no2","20.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.22863","4.4284544"
"","","","","pm25","5.58","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm10","16.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R805 - ANTWERPEN","Flanders","BE","3478270.924174585","no2","23","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.20823","4.4215593"
"","","","","pm10","14.7","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"","","","","pm25","4.65","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","",""
"42R811 - SCHOTEN","Flanders","BE","3473504.3984240782","pm25","5.5","2017-07-20T22:00:00.000Z","µg/m³","EEA Belgium","1","hours","51.2521","4.491362"
